fid,count,Year,area_ha,density
"3","132","1995","1611.42","0.0819"
"2","197","1996","2006.43","0.0982"
"5","197","1997","2010.98","0.098"
"4","199","1998","2026.4","0.0982"
"7","408","1999","2678.78","0.1523"
"6","396","2000","2656.65","0.1491"
"9","390","2001","2631.94","0.1482"
"8","123","2002","1382.97","0.0889"
"10","370","2004","2594.29","0.1426"
"12","365","2005","2576.07","0.1417"
"11","347","2006","2489.5","0.1394"
"14","320","2007","2401.84","0.1332"
"13","298","2008","2338.46","0.1274"
"16","271","2009","2208.97","0.1227"
"15","265","2010","2180.93","0.1215"
"18","262","2011","2172.78","0.1206"
"17","254","2012","2132.04","0.1191"
"20","253","2013","2123.26","0.1192"
"19","250","2014","2098.52","0.1191"
"1","249","2015","2098.23","0.1187"
