fid,count,field_name,area_ha,density
1,64,AllrCoug2018A,122.911738337458,0.520698843460226
2,86,ValKoe2018A,109.938212747068,0.782257577698284
3,204,Royal2018A,322.8984838856,0.631777509591143
4,265,CRO2018A,479.077764118295,0.553146106640352
5,48,fiveEa2018A,40.7235566853458,1.17867897371726
6,118,HoskGibOth2018A,159.578969150924,0.739445809355991
7,95,Hansen2018A,102.070876965073,0.930725813519834
8,67,AllrCoug2019A,126.643149307458,0.529045592804556
9,47,ValKoe2019A,106.331592600451,0.442013505587242
10,150,Royal2019A,321.863021351187,0.466036761136142
11,30,fiveEa2019A,39.2875415466528,0.763600846959994
12,270,CRO2019A,484.417472458864,0.557370481765453
13,138,HoskGibOth2019A,185.042360102989,0.745775183169914
14,72,,129.801557863765,0.554692880308636
15,80,Hansen2019A,102.082143672254,0.783682602285946
16,102,AllrCoug2020A,117.453286989044,0.868430357419578
17,55,ValKoe2020A,126.093678970638,0.436183640996049
18,149,Royal2020A,317.447905482861,0.469368351236592
19,30,fiveEa2020A,38.791542053114,0.773364460709594
20,212,CRO2020A,415.651207140202,0.510043027322404
21,72,HoskGibOth2020A,142.164104029463,0.506456960366581
22,106,,105.901894597111,1.0009263800545
23,75,Hansen2020A,93.7060315711792,0.800375373308066
24,58,AllrCoug2021A,120.735980038226,0.480387039403142
25,57,ValKoe2021A,129.11587219164,0.441463927187805
26,145,Royal2021A,310.121002158624,0.467559433223532
27,17,fiveEa2021A,27.0070785665199,0.629464603441948
28,185,CRO2021A,368.616063482885,0.501877205925373
29,73,HoskGibOth2021A,145.448017155798,0.501897526191816
30,76,Hansen2021A,98.2676831467322,0.773397698676967
