"","julian","moths","var","traps","DDs","trap_group"
"1",121,1.78461538461538,11.1780560524747,130,198.993790904372,1
"2",128,7.19847328244275,90.4526130358191,131,253.448087164678,1
"3",135,9.59848484848485,122.211600740227,132,328.473335270289,1
"4",142,8.9469696969697,106.020067083044,132,413.464368058444,1
"5",149,4.09848484848485,32.3948068470969,132,527.562889952337,1
"6",156,3.49618320610687,18.9596007046389,131,655.957210828164,1
"7",163,2.02272727272727,8.84680777238029,132,741.233513956163,1
"8",170,1.18181818181818,2.76058292852186,132,834.740796779066,1
"9",177,1.40909090909091,3.98403886190146,132,968.534796779066,1
"10",184,0.757575757575758,1.92551468887347,132,1117.4226946282,1
"11",191,0.772727272727273,2.74184594031922,132,1257.8046946282,1
"12",198,0.954545454545455,6.12005551700208,132,1401.68781682103,1
"13",205,2.28030303030303,23.3330441822808,132,1580.50143376502,1
"14",212,2.00757575757576,12.6640643071941,132,1717.68843376502,1
"15",219,1.06060606060606,4.05736756881795,132,1859.67471290376,1
"16",226,2.17557251908397,14.0689371697005,131,1957.37650813177,1
"17",233,2.46969696969697,10.0983113578533,132,2054.53182639437,1
"18",240,2.06060606060606,10.1795049733981,132,2155.22085315399,1
"19",121,0.0114285714285714,0.0113628899835796,175,183.471604292707,2
"20",128,0.158974358974359,0.268411313772139,195,209.196033936281,2
"21",135,0.441624365482233,1.80907489899513,197,249.104275927394,2
"22",142,1.55329949238579,10.7178079353569,197,298.214903207813,2
"23",149,4.09137055837563,50.8079353568839,197,372.13880900893,2
"24",156,3.36548223350254,36.5902310162644,197,462.51566416619,2
"25",163,2.26153846153846,18.1322759714512,195,572.710182607716,2
"26",170,1.20304568527919,5.85652128871853,197,675.082643429173,2
"27",177,0.355329949238579,0.873096446700508,197,760.794710961136,2
"28",184,0.411167512690355,0.753548119755516,197,872.766190914861,2
"29",191,0.32994923857868,1.09976173210401,197,1009.72047895548,2
"30",198,0.209183673469388,0.350889586603872,196,1177.1872647203,2
"31",205,0.152284263959391,0.711385061638869,197,1292.02284874581,2
"32",212,0.261538461538462,1.29722442505948,195,1483.41646549043,2
"33",219,0.743589743589744,4.46999735659529,195,1604.16680780263,2
"34",226,0.918367346938776,6.58817373103087,196,1763.47681908878,2
"35",233,0.678571428571429,1.99358974358974,196,1898.07735166708,2
"36",240,0.469387755102041,5.35803244374673,196,2039.38743033864,2
"37",247,0.230337078651685,0.505967117374468,178,2176.0426308501,2
"38",254,0.0449438202247191,0.0544658160350409,178,2247.73755272218,2
"39",126,0.145077720207254,0.176759499136442,193,185.932828903514,3
"40",133,0.589473684210526,2.81470342522974,190,278.701707826538,3
"41",140,1.52040816326531,13.4098377812664,196,378.042836911054,3
"42",147,0.807106598984772,8.5646431161297,197,449.430990818623,3
"43",154,1.13705583756345,7.09846679788667,197,545.636534270966,3
"44",161,0.578680203045685,1.54097171863669,197,644.954053800258,3
"45",168,0.396907216494845,0.80019763901501,194,783.401053800258,3
"46",175,0.139175257731959,0.192965119384648,194,855.031120803238,3
"47",182,0.173469387755102,0.236420722135008,196,956.5970548737,3
"48",189,0.0969387755102041,0.118759811616954,196,1088.2888615407,3
"49",196,0.0456852791878173,0.0438205739148451,197,1207.89289431905,3
"50",203,0.0510204081632653,0.0589220303506018,196,1353.10389858339,3
"51",210,0.142857142857143,0.687179487179487,196,1486.98624018831,3
"52",217,0.142857142857143,0.256410256410256,196,1655.02777421598,3
"53",224,0.13265306122449,0.207953950811094,196,1810.08043358362,3
"54",231,0.134020618556701,0.272100849313605,194,1976.7446843724,3
"55",238,0.117948717948718,0.187047316944224,195,2108.88312335021,3
"56",245,0.11340206185567,0.164089347079038,97,2232.15612335021,3
"57",252,0.0618556701030928,0.0586340206185567,97,2337.8317883325,3
"58",259,0.0348837209302326,0.03406292749658,86,2416.21131289965,3
"59",266,0.0232558139534884,0.0229822161422709,86,2486.0559580045,3
"60",110,0,0,189,124.651357563863,4
"61",117,0.043010752688172,0.0413833188026736,186,178.149936951784,4
"62",124,0.709183673469388,7.93037676609105,196,282.140575110107,4
"63",131,1.63959390862944,14.7010773852688,197,397.685870147673,4
"64",139,0.52020202020202,2.47420909603651,198,473.355529049409,4
"65",145,0.303030303030303,0.760498384863867,198,554.554275645565,4
"66",152,0.375634517766497,1.37858696778204,197,626.128373635319,4
"67",159,0.187817258883249,0.520667150108775,197,724.091740383018,4
"68",166,0.209183673469388,0.514992150706436,196,854.663740383018,4
"69",173,0.121212121212121,0.178126442085833,198,968.504740383018,4
"70",180,0.161616161616162,0.298620725016664,198,1078.59274038302,4
"71",187,0.0707070707070707,0.0761934061426447,198,1243.77570727704,4
"72",194,0.0408163265306122,0.0393511250654108,196,1410.36458296432,4
"73",201,0.111675126903553,0.354811975551642,197,1573.33024885913,4
"74",208,0.0454545454545455,0.0740655283802492,198,1772.6472216902,4
"75",215,0.0558375634517767,0.10400911633689,197,1969.76859286912,4
"76",222,0.0456852791878173,0.0438205739148451,197,2152.70693622108,4
"77",229,0.0355329949238579,0.0344452501812908,197,2318.03189551404,4
"78",236,0.0714285714285714,0.0974358974358974,196,2448.8763283108,4
"79",243,0.0153061224489796,0.015149136577708,196,2599.69694327607,4
"80",250,0.0101522842639594,0.0101004868952657,197,2765.25533457191,4
"81",257,0,0,198,2899.33393376746,4
"82",264,0,0,198,3006.51252663074,4
"83",271,0,0,196,3080.18675021224,4
"84",121,0.0687022900763359,0.171288362673314,393,187.020849282025,5
"85",128,0.184810126582278,0.694184925785517,395,210.084606418741,5
"86",135,0.364764267990074,5.76462600150612,403,247.281085444245,5
"87",142,0.828358208955224,5.59390702348606,402,295.954180353002,5
"88",149,0.733990147783251,6.37350848385331,406,397.930448281771,5
"89",156,0.362282878411911,1.21170820833796,403,491.486771889663,5
"90",163,0.336609336609337,1.43567615981409,407,550.577810670599,5
"91",170,0.189655172413793,0.652830991911452,406,700.903834126727,5
"92",177,0.21039603960396,0.727335822912316,404,796.141834126727,5
"93",184,0.129353233830846,0.636592598106723,402,882.28276795783,5
"94",191,0.0965346534653465,0.176762155123701,404,1000.74032062957,5
"95",198,0.0419753086419753,0.0799168805769466,405,1143.90215793901,5
"96",205,0.0493827160493827,0.0718127368292385,405,1287.64927317966,5
"97",212,0.0222222222222222,0.0316831683168317,405,1436.23411192717,5
"98",219,0.0623441396508728,0.15860349127182,401,1619.62616991012,5
"99",233,0.0276381909547739,0.0571687151120844,398,1916.22885791438,5
"100",240,0.0422885572139304,0.190227168397414,402,2078.39317617843,5
"101",247,0.00493827160493827,0.00492604816037159,405,2163.97445205066,5
"102",254,0.00496277915632754,0.00992555831265509,403,2246.8782377627,5
"103",261,0,0,403,2350.5840588826,5
"104",268,0,0,365,2442.55996678283,5
"105",115,0.00252525252525253,0.00252525252525253,396,192.470411563465,6
"106",122,0.0559796437659033,0.0733888975437503,393,245.802036241534,6
"107",129,0.0284974093264249,0.0433416324608034,386,286.345089542158,6
"108",136,0.0356234096692112,0.0599522251648751,393,332.534237627181,6
"109",143,0.100263852242744,0.143359718557608,379,426.814354885462,6
"110",150,0.041994750656168,0.0508633789197403,381,495.87857060635,6
"111",157,0.0443213296398892,0.048030163127116,361,582.159863478907,6
"112",164,0.0572916666666667,0.0541503481288077,384,650.893345070612,6
"113",171,0.0214477211796247,0.0264204791144167,373,751.787612243877,6
"114",178,0.0280612244897959,0.0426888146562973,392,882.175375419974,6
"115",185,0.02,0.0253868194842407,350,1020.72426568653,6
"116",192,0.0364583333333333,0.0822182332463011,384,1133.83051407236,6
"117",199,0.0358974358974359,0.178656647551249,390,1284.18809402702,6
"118",206,0.0463917525773196,0.106369375849117,388,1452.69552494119,6
"119",213,0.0227848101265823,0.0781597378397481,395,1621.36406656498,6
"120",220,0.0467032967032967,0.176876154148881,364,1813.74147716577,6
"121",227,0.0586734693877551,0.0962928649720758,392,1980.87047659807,6
"122",234,0.0456852791878173,0.104777773472314,394,2085.84462482691,6
"123",241,0.102564102564103,0.0944669365721997,39,2204.79816721446,6
"124",248,0,0,40,2278.05371218824,6
"125",255,0,0,21,2348.31586192613,6
"126",262,0,0,39,2467.90453139619,6
"127",112,0,0,180,95.5764941890429,7
"128",119,0,0,383,155.843606652428,7
"129",126,0,0,386,192.003964394846,7
"130",133,0.0885416666666667,0.195795256744996,384,281.662073003942,7
"131",140,0.0551181102362205,0.0627434728553668,381,333.584325872291,7
"132",147,0.107329842931937,0.148555056272416,382,478.481590149782,7
"133",154,0.0431266846361186,0.0467837109346543,371,558.940237168564,7
"134",161,0.0292553191489362,0.0338085106382979,376,636.819988983552,7
"135",168,0.0264550264550265,0.0788738719773203,378,708.106944850225,7
"136",175,0.0257731958762887,0.0303417778843336,388,842.737162270923,7
"137",182,0.0336787564766839,0.0482134445865016,386,954.722096381673,7
"138",189,0.00671140939597315,0.0134228187919463,298,1125.57835383267,7
"139",196,0.0232558139534884,0.0229822161422709,86,1303.55424574779,7
"140",203,0.0487804878048781,0.046973803071364,82,1416.52081756597,7
"141",210,0.0240963855421687,0.0238025271818983,83,1568.83263863446,7
"142",217,0.0365853658536585,0.0603733815115929,82,1706.17741044741,7
"143",224,0.0113636363636364,0.0113636363636364,88,1878.91963412444,7
"144",231,0.0344827586206897,0.0569366479550922,87,2051.68693248063,7
"145",238,0.0112359550561798,0.0112359550561798,89,2171.61514012691,7
"146",119,0,0,115,167.020555949372,8
"147",126,0,0,115,210.531834224902,8
"148",133,0.0517241379310345,0.0668665667166417,116,257.774916373158,8
"149",140,0.153846153846154,0.320954907161804,117,322.765674634088,8
"150",147,0.0847457627118644,0.146602926263943,118,384.74941848248,8
"151",154,0.114754098360656,0.152011922503726,122,495.825834451433,8
"152",161,0.0495867768595041,0.0975206611570248,121,583.911607441234,8
"153",168,0.0423728813559322,0.0409242358394901,118,730.251096859122,8
"154",175,0,0,123,860.917061812336,8
"155",182,0.0487804878048781,0.0631747301079568,123,1007.05571101604,8
"156",189,0.0650406504065041,0.0777022524323604,123,1127.6074468253,8
"157",196,0.0569105691056911,0.070505131280821,123,1308.83933396934,8
"158",203,0.0423728813559322,0.0580182529335072,118,1495.44661848706,8
"159",210,0.0333333333333333,0.0324929971988796,120,1680.64892332171,8
"160",217,0.0569105691056911,0.070505131280821,123,1792.72544295749,8
"161",224,0.016260162601626,0.0161268825803012,123,1935.84395411031,8
"162",231,0,0,122,2079.9882784059,8
"163",238,0,0,47,2235.0668282229,8
"164",245,0.0416666666666667,0.0407801418439716,48,2395.82842960181,8
"165",252,0,0,48,2482.03824946983,8
"166",259,0,0,48,2609.01209973781,8
"167",266,0,0,48,2680.71149216505,8
"168",273,0,0,64,2740.99384956943,8
"169",109,0,0,5,205.852499644931,9
"170",116,1,5,5,245.300796651235,9
"171",130,1.07392996108949,15.2874817607004,257,395.840575908109,9
"172",137,0.477564102564103,5.04772652320884,312,455.358965410791,9
"173",144,0.430868167202572,11.0524634374028,311,539.457324154537,9
"174",151,0.0886426592797784,0.153231763619575,361,603.157088235503,9
"175",158,0.306233062330623,2.32172734770826,369,708.41725153403,9
"176",165,0.174863387978142,0.681667789505202,366,795.689747824037,9
"177",172,0.244565217391304,0.653921336334558,368,909.723956552151,9
"178",179,0.176151761517615,0.292255802992813,369,1083.15334836044,9
"179",186,0.0316091954022989,0.0422256451025208,348,1253.72025998093,9
"180",193,0.0233918128654971,0.0405069369415719,342,1382.69473752178,9
"181",200,0.074585635359116,0.285280298740454,362,1557.94783291862,9
"182",207,0.021680216802168,0.0430069518086485,369,1733.24669545819,9
"183",214,0.00600600600600601,0.012012012012012,333,1917.60317929712,9
"184",221,0.0549450549450549,0.18981018981019,364,2067.18002704064,9
"185",228,0.00699300699300699,0.00696847012636486,286,2254.48806080672,9
"186",235,0.0171428571428571,0.028440065681445,175,2434.25166745004,9
"187",124,0.0416666666666667,0.0416666666666667,24,285.57554164912,10
"188",125,0,0,19,299.72354164912,10
"189",126,0.0798722044728434,0.144241009256984,313,313.261113786289,10
"190",127,0,0,13,327.220113786289,10
"191",130,0.0434782608695652,0.0434782608695652,23,358.990113786289,10
"192",131,0.25,0.75,44,372.407582048032,10
"193",132,0.2,0.816326530612245,50,387.312084832021,10
"194",133,0.136363636363636,0.15034965034965,66,403.089084832021,10
"195",134,0.09,0.183737373737374,100,420.144084832021,10
"196",136,0.0681818181818182,0.111522198731501,44,443.166084832021,10
"197",137,0.294117647058824,0.371764705882353,51,451.312901905018,10
"198",138,0,0,24,457.805691251505,10
"199",139,0.0483870967741935,0.0795875198307774,62,466.239606969649,10
"200",140,0.107692307692308,0.128846153846154,65,472.859037574579,10
"201",144,0.0533333333333333,0.0781981981981982,75,507.971378163393,10
"202",145,0.0581395348837209,0.0554035567715458,86,520.605884273868,10
"203",146,0.0350877192982456,0.0518553019717435,114,536.386889144422,10
"204",147,0,0,41,554.847242006399,10
"205",148,0.0857142857142857,0.139495798319328,35,576.0938284738,10
"206",150,0.166666666666667,0.254716981132075,54,620.201556285834,10
"207",151,0.277777777777778,0.320634920634921,36,632.738556285834,10
"208",152,0.0606060606060606,0.11873840445269,99,643.917240725943,10
"209",153,0,0,74,660.495240725943,10
