"","Date","Traps","Counts"
"1",2021-04-27,1,0
"2",2021-04-27,2,0
"3",2021-04-27,3,0
"4",2021-04-27,4,0
"5",2021-04-27,5,0
"6",2021-04-27,6,0
"7",2021-04-27,7,0
"8",2021-04-27,8,0
"9",2021-04-27,9,0
"10",2021-04-27,10,0
"11",2021-04-27,11,0
"12",2021-04-27,12,0
"13",2021-04-27,13,0
"14",2021-04-27,14,0
"15",2021-04-27,15,0
"16",2021-04-27,16,0
"17",2021-04-27,17,0
"18",2021-04-27,18,0
"19",2021-04-27,19,0
"20",2021-04-27,20,0
"21",2021-04-27,21,0
"22",2021-04-27,22,0
"23",2021-04-27,23,0
"24",2021-04-27,24,0
"25",2021-04-27,25,0
"26",2021-04-27,26,0
"27",2021-04-27,27,0
"28",2021-04-27,28,0
"29",2021-04-27,29,0
"30",2021-04-27,30,0
"31",2021-04-27,31,0
"32",2021-04-27,32,0
"33",2021-04-27,33,0
"34",2021-04-27,34,0
"35",2021-04-27,35,0
"36",2021-04-27,36,0
"37",2021-04-27,37,0
"38",2021-04-27,38,0
"39",2021-04-27,39,0
"40",2021-05-03,1,0
"41",2021-05-03,2,0
"42",2021-05-03,3,0
"43",2021-05-03,4,0
"44",2021-05-03,5,0
"45",2021-05-03,6,0
"46",2021-05-03,7,0
"47",2021-05-03,8,0
"48",2021-05-03,9,0
"49",2021-05-03,10,0
"50",2021-05-03,11,0
"51",2021-05-03,12,0
"52",2021-05-03,13,0
"53",2021-05-03,14,0
"54",2021-05-03,15,0
"55",2021-05-03,16,0
"56",2021-05-03,17,0
"57",2021-05-03,18,0
"58",2021-05-03,19,0
"59",2021-05-03,20,0
"60",2021-05-03,21,0
"61",2021-05-03,22,0
"62",2021-05-03,23,0
"63",2021-05-03,24,0
"64",2021-05-03,25,0
"65",2021-05-03,26,0
"66",2021-05-03,27,0
"67",2021-05-03,28,0
"68",2021-05-03,29,0
"69",2021-05-03,30,0
"70",2021-05-03,31,0
"71",2021-05-03,32,0
"72",2021-05-03,33,0
"73",2021-05-03,34,0
"74",2021-05-03,35,0
"75",2021-05-03,36,0
"76",2021-05-03,37,0
"77",2021-05-03,38,0
"78",2021-05-03,39,0
"79",2021-05-10,1,0
"80",2021-05-10,2,0
"81",2021-05-10,3,0
"82",2021-05-10,4,0
"83",2021-05-10,5,0
"84",2021-05-10,6,0
"85",2021-05-10,7,0
"86",2021-05-10,8,0
"87",2021-05-10,9,0
"88",2021-05-10,10,0
"89",2021-05-10,11,1
"90",2021-05-10,12,1
"91",2021-05-10,13,0
"92",2021-05-10,14,0
"93",2021-05-10,15,0
"94",2021-05-10,16,0
"95",2021-05-10,17,0
"96",2021-05-10,18,1
"97",2021-05-10,19,0
"98",2021-05-10,20,0
"99",2021-05-10,21,0
"100",2021-05-10,22,0
"101",2021-05-10,23,0
"102",2021-05-10,24,0
"103",2021-05-10,25,0
"104",2021-05-10,26,0
"105",2021-05-10,27,0
"106",2021-05-10,28,0
"107",2021-05-10,29,0
"108",2021-05-10,30,0
"109",2021-05-10,31,0
"110",2021-05-10,32,0
"111",2021-05-10,33,0
"112",2021-05-10,34,0
"113",2021-05-10,35,0
"114",2021-05-10,36,0
"115",2021-05-10,37,0
"116",2021-05-10,38,0
"117",2021-05-10,39,0
"118",2021-05-17,1,0
"119",2021-05-17,2,0
"120",2021-05-17,3,0
"121",2021-05-17,4,0
"122",2021-05-17,5,0
"123",2021-05-17,6,0
"124",2021-05-17,7,0
"125",2021-05-17,8,0
"126",2021-05-17,9,0
"127",2021-05-17,10,0
"128",2021-05-17,11,0
"129",2021-05-17,12,0
"130",2021-05-17,13,0
"131",2021-05-17,14,0
"132",2021-05-17,15,0
"133",2021-05-17,16,0
"134",2021-05-17,17,0
"135",2021-05-17,18,4
"136",2021-05-17,19,2
"137",2021-05-17,20,1
"138",2021-05-17,21,2
"139",2021-05-17,22,0
"140",2021-05-17,23,1
"141",2021-05-17,24,1
"142",2021-05-17,25,1
"143",2021-05-17,26,0
"144",2021-05-17,27,0
"145",2021-05-17,28,1
"146",2021-05-17,29,0
"147",2021-05-17,30,0
"148",2021-05-17,31,0
"149",2021-05-17,32,0
"150",2021-05-17,33,0
"151",2021-05-17,34,0
"152",2021-05-17,35,0
"153",2021-05-17,36,1
"154",2021-05-17,37,1
"155",2021-05-17,38,1
"156",2021-05-17,39,1
"157",2021-05-24,1,0
"158",2021-05-24,2,0
"159",2021-05-24,3,0
"160",2021-05-24,4,0
"161",2021-05-24,5,0
"162",2021-05-24,6,0
"163",2021-05-24,7,0
"164",2021-05-24,8,0
"165",2021-05-24,9,0
"166",2021-05-24,10,0
"167",2021-05-24,11,0
"168",2021-05-24,12,0
"169",2021-05-24,13,0
"170",2021-05-24,14,0
"171",2021-05-24,15,0
"172",2021-05-24,16,0
"173",2021-05-24,17,0
"174",2021-05-24,18,1
"175",2021-05-24,19,0
"176",2021-05-24,20,0
"177",2021-05-24,21,2
"178",2021-05-24,22,0
"179",2021-05-24,23,0
"180",2021-05-24,24,0
"181",2021-05-24,25,0
"182",2021-05-24,26,1
"183",2021-05-24,27,0
"184",2021-05-24,28,0
"185",2021-05-24,29,1
"186",2021-05-24,30,0
"187",2021-05-24,31,0
"188",2021-05-24,32,0
"189",2021-05-24,33,0
"190",2021-05-24,34,0
"191",2021-05-24,35,0
"192",2021-05-24,36,0
"193",2021-05-24,37,0
"194",2021-05-24,38,0
"195",2021-05-24,39,0
"196",2021-06-01,1,0
"197",2021-06-01,2,0
"198",2021-06-01,3,0
"199",2021-06-01,4,0
"200",2021-06-01,5,0
"201",2021-06-01,6,0
"202",2021-06-01,7,0
"203",2021-06-01,8,0
"204",2021-06-01,9,0
"205",2021-06-01,10,0
"206",2021-06-01,11,0
"207",2021-06-01,12,0
"208",2021-06-01,13,0
"209",2021-06-01,14,0
"210",2021-06-01,15,1
"211",2021-06-01,16,1
"212",2021-06-01,17,0
"213",2021-06-01,18,0
"214",2021-06-01,19,0
"215",2021-06-01,20,2
"216",2021-06-01,21,1
"217",2021-06-01,22,0
"218",2021-06-01,23,0
"219",2021-06-01,24,0
"220",2021-06-01,25,1
"221",2021-06-01,26,0
"222",2021-06-01,27,0
"223",2021-06-01,28,0
"224",2021-06-01,29,0
"225",2021-06-01,30,0
