"","Date","Traps","Counts"
"1",2020-04-20,1,0
"2",2020-04-20,2,0
"3",2020-04-20,3,0
"4",2020-04-20,4,0
"5",2020-04-20,5,0
"6",2020-04-20,6,0
"7",2020-04-20,7,0
"8",2020-04-20,8,0
"9",2020-04-20,9,0
"10",2020-04-20,10,0
"11",2020-04-20,11,0
"12",2020-04-20,12,0
"13",2020-04-20,13,0
"14",2020-04-20,14,0
"15",2020-04-20,15,0
"16",2020-04-20,16,0
"17",2020-04-20,17,0
"18",2020-04-20,18,0
"19",2020-04-20,19,0
"20",2020-04-20,20,0
"21",2020-04-20,21,0
"22",2020-04-20,22,0
"23",2020-04-20,23,0
"24",2020-04-20,24,0
"25",2020-04-20,25,0
"26",2020-04-20,26,0
"27",2020-04-20,27,0
"28",2020-04-20,28,0
"29",2020-04-20,29,0
"30",2020-04-20,30,0
"31",2020-04-20,31,0
"32",2020-04-20,32,0
"33",2020-04-20,33,0
"34",2020-04-20,34,0
"35",2020-04-20,35,0
"36",2020-04-20,36,0
"37",2020-04-20,37,0
"38",2020-04-20,38,0
"39",2020-04-20,39,0
"40",2020-04-20,40,0
"41",2020-04-20,41,0
"42",2020-04-20,42,0
"43",2020-04-20,43,0
"44",2020-04-20,44,0
"45",2020-04-20,45,0
"46",2020-04-20,46,0
"47",2020-04-20,47,0
"48",2020-04-20,48,0
"49",2020-04-20,49,0
"50",2020-04-20,50,0
"51",2020-04-20,51,0
"52",2020-04-20,52,0
"53",2020-04-20,53,0
"54",2020-04-20,54,0
"55",2020-04-20,55,0
"56",2020-04-20,56,0
"57",2020-04-20,57,0
"58",2020-04-20,58,0
"59",2020-04-20,59,0
"60",2020-04-20,60,0
"61",2020-04-20,61,0
"62",2020-04-20,62,0
"63",2020-04-20,63,0
"64",2020-04-20,64,0
"65",2020-04-20,65,0
"66",2020-04-20,66,0
"67",2020-04-20,67,0
"68",2020-04-20,68,0
"69",2020-04-20,69,0
"70",2020-04-20,70,0
"71",2020-04-20,71,0
"72",2020-04-20,72,0
"73",2020-04-20,73,0
"74",2020-04-20,74,0
"75",2020-04-20,75,0
"76",2020-04-20,76,0
"77",2020-04-20,77,0
"78",2020-04-20,78,0
"79",2020-04-20,79,0
"80",2020-04-20,80,0
"81",2020-04-20,81,0
