"","Date","Traps","Counts"
"1","27-Apr-21",1,0
"2","27-Apr-21",2,0
"3","27-Apr-21",3,0
"4","27-Apr-21",4,0
"5","27-Apr-21",5,0
"6","27-Apr-21",6,0
"7","27-Apr-21",7,0
"8","27-Apr-21",8,0
"9","27-Apr-21",9,0
"10","27-Apr-21",10,0
"11","27-Apr-21",11,0
"12","27-Apr-21",12,0
"13","27-Apr-21",13,0
"14","27-Apr-21",14,0
"15","27-Apr-21",15,0
"16","27-Apr-21",16,0
"17","27-Apr-21",17,0
"18","27-Apr-21",18,0
"19","27-Apr-21",19,0
"20","27-Apr-21",20,0
"21","27-Apr-21",21,0
"22","27-Apr-21",22,0
"23","27-Apr-21",23,0
"24","27-Apr-21",24,0
"25","27-Apr-21",25,0
"26","27-Apr-21",26,0
"27","27-Apr-21",27,0
"28","27-Apr-21",28,0
"29","27-Apr-21",29,0
"30","27-Apr-21",30,0
"31","27-Apr-21",31,0
"32","27-Apr-21",32,0
"33","27-Apr-21",33,0
"34","27-Apr-21",34,0
"35","27-Apr-21",35,0
"36","27-Apr-21",36,0
"37","27-Apr-21",37,0
"38","27-Apr-21",38,0
"39","27-Apr-21",39,0
"40","27-Apr-21",40,0
"41","27-Apr-21",41,0
"42","27-Apr-21",42,0
"43","27-Apr-21",43,0
"44","27-Apr-21",44,0
"45","27-Apr-21",45,0
"46","27-Apr-21",46,0
"47","27-Apr-21",47,0
"48","27-Apr-21",48,0
"49","27-Apr-21",49,0
"50","27-Apr-21",50,0
"51","27-Apr-21",51,0
"52","03-May-21",1,0
"53","03-May-21",2,0
"54","03-May-21",3,0
"55","03-May-21",4,0
"56","03-May-21",5,1
"57","03-May-21",6,0
"58","03-May-21",7,0
"59","03-May-21",8,0
"60","03-May-21",9,0
"61","03-May-21",10,0
"62","03-May-21",11,0
"63","03-May-21",12,0
"64","03-May-21",13,0
"65","03-May-21",14,0
"66","03-May-21",15,0
"67","03-May-21",16,0
"68","03-May-21",17,0
"69","03-May-21",18,0
"70","03-May-21",19,0
"71","03-May-21",20,0
"72","03-May-21",21,1
"73","03-May-21",22,0
"74","03-May-21",23,0
"75","03-May-21",24,1
"76","03-May-21",25,0
"77","03-May-21",26,0
"78","03-May-21",27,0
"79","03-May-21",28,0
"80","03-May-21",29,1
"81","03-May-21",30,0
"82","03-May-21",31,0
"83","03-May-21",32,0
"84","03-May-21",33,0
"85","03-May-21",34,0
"86","03-May-21",35,0
"87","03-May-21",36,0
"88","03-May-21",37,0
"89","03-May-21",38,0
"90","03-May-21",39,0
"91","03-May-21",40,0
"92","03-May-21",41,0
"93","03-May-21",42,0
"94","03-May-21",43,0
"95","03-May-21",44,0
"96","03-May-21",45,0
"97","03-May-21",46,0
"98","03-May-21",47,0
"99","03-May-21",48,1
"100","03-May-21",49,0
"101","03-May-21",50,0
"102","03-May-21",51,0
"103","10-May-21",1,0
"104","10-May-21",2,0
"105","10-May-21",3,0
"106","10-May-21",4,0
"107","10-May-21",5,0
"108","10-May-21",6,0
"109","10-May-21",7,0
"110","10-May-21",8,0
"111","10-May-21",9,0
"112","10-May-21",10,0
"113","10-May-21",11,0
"114","10-May-21",12,0
"115","10-May-21",13,1
"116","10-May-21",14,0
"117","10-May-21",15,0
"118","10-May-21",16,1
"119","10-May-21",17,0
"120","10-May-21",18,0
"121","10-May-21",19,0
"122","10-May-21",20,1
"123","10-May-21",21,0
"124","10-May-21",22,0
"125","10-May-21",23,0
"126","10-May-21",24,0
"127","10-May-21",25,0
"128","10-May-21",26,0
"129","10-May-21",27,0
"130","10-May-21",28,0
"131","10-May-21",29,0
"132","10-May-21",30,0
"133","10-May-21",31,0
"134","10-May-21",32,0
"135","10-May-21",33,0
"136","10-May-21",34,0
"137","10-May-21",35,0
"138","10-May-21",36,0
"139","10-May-21",37,0
"140","10-May-21",38,0
"141","10-May-21",39,0
"142","10-May-21",40,0
"143","10-May-21",41,0
"144","10-May-21",42,0
"145","10-May-21",43,0
"146","10-May-21",44,0
"147","10-May-21",45,0
"148","10-May-21",46,0
"149","10-May-21",47,0
"150","10-May-21",48,0
"151","10-May-21",49,0
"152","10-May-21",50,0
"153","10-May-21",51,0
"154","17-May-21",1,1
"155","17-May-21",2,0
"156","17-May-21",3,0
"157","17-May-21",4,2
"158","17-May-21",5,0
"159","17-May-21",6,0
"160","17-May-21",7,0
"161","17-May-21",8,1
"162","17-May-21",9,1
"163","17-May-21",10,0
"164","17-May-21",11,0
"165","17-May-21",12,0
"166","17-May-21",13,0
"167","17-May-21",14,1
"168","17-May-21",15,0
"169","17-May-21",16,0
"170","17-May-21",17,1
"171","17-May-21",18,0
"172","17-May-21",19,0
"173","17-May-21",20,0
"174","17-May-21",21,0
"175","17-May-21",22,0
"176","17-May-21",23,0
"177","17-May-21",24,0
"178","17-May-21",25,1
"179","17-May-21",26,0
"180","17-May-21",27,1
"181","17-May-21",28,0
"182","17-May-21",29,0
"183","17-May-21",30,0
"184","17-May-21",31,0
"185","17-May-21",32,0
"186","17-May-21",33,1
"187","17-May-21",34,0
"188","17-May-21",35,0
"189","17-May-21",36,1
"190","17-May-21",37,0
"191","17-May-21",38,2
"192","17-May-21",39,0
"193","17-May-21",40,0
"194","17-May-21",41,0
"195","17-May-21",42,0
"196","17-May-21",43,0
"197","17-May-21",44,0
"198","17-May-21",45,0
"199","17-May-21",46,0
"200","17-May-21",47,0
"201","17-May-21",48,0
"202","17-May-21",49,0
"203","17-May-21",50,0
"204","17-May-21",51,0
"205","24-May-21",1,0
"206","24-May-21",2,0
"207","24-May-21",3,0
"208","24-May-21",4,0
"209","24-May-21",5,1
"210","24-May-21",6,0
"211","24-May-21",7,0
"212","24-May-21",8,0
"213","24-May-21",9,0
"214","24-May-21",10,0
"215","24-May-21",11,1
"216","24-May-21",12,0
"217","24-May-21",13,0
"218","24-May-21",14,0
"219","24-May-21",15,0
"220","24-May-21",16,0
"221","24-May-21",17,0
"222","24-May-21",18,0
"223","24-May-21",19,0
"224","24-May-21",20,0
"225","24-May-21",21,0
"226","24-May-21",22,0
"227","24-May-21",23,0
"228","24-May-21",24,0
"229","24-May-21",25,0
"230","24-May-21",26,0
"231","24-May-21",27,0
"232","24-May-21",28,0
"233","24-May-21",29,0
"234","24-May-21",30,0
"235","24-May-21",31,0
"236","24-May-21",32,0
"237","24-May-21",33,0
"238","24-May-21",34,1
"239","24-May-21",35,0
"240","24-May-21",36,0
"241","24-May-21",37,0
"242","24-May-21",38,0
"243","24-May-21",39,0
"244","24-May-21",40,0
"245","24-May-21",41,0
"246","24-May-21",42,0
"247","24-May-21",43,0
"248","24-May-21",44,0
"249","24-May-21",45,0
"250","24-May-21",46,0
"251","24-May-21",47,0
"252","24-May-21",48,0
"253","24-May-21",49,0
"254","24-May-21",50,0
"255","24-May-21",51,0
"256","01-Jun-21",1,1
"257","01-Jun-21",2,1
"258","01-Jun-21",3,0
"259","01-Jun-21",4,1
"260","01-Jun-21",5,1
"261","01-Jun-21",6,0
