"","Date","Traps","Counts"
"1","15-Apr-19",1,0
"2","15-Apr-19",2,0
"3","15-Apr-19",3,0
"4","15-Apr-19",4,0
"5","15-Apr-19",5,0
"6","15-Apr-19",6,0
"7","15-Apr-19",7,0
"8","15-Apr-19",8,0
"9","15-Apr-19",9,0
"10","15-Apr-19",10,0
"11","15-Apr-19",11,0
"12","15-Apr-19",12,0
"13","15-Apr-19",13,0
"14","15-Apr-19",14,0
"15","15-Apr-19",15,0
"16","15-Apr-19",16,0
"17","15-Apr-19",17,0
"18","15-Apr-19",18,0
"19","15-Apr-19",19,0
"20","15-Apr-19",20,0
"21","15-Apr-19",21,0
"22","15-Apr-19",22,0
"23","15-Apr-19",23,0
"24","15-Apr-19",24,0
"25","15-Apr-19",25,0
"26","15-Apr-19",26,0
"27","15-Apr-19",27,0
"28","15-Apr-19",28,0
"29","15-Apr-19",29,0
"30","15-Apr-19",30,0
"31","15-Apr-19",31,0
"32","15-Apr-19",32,0
"33","15-Apr-19",33,0
"34","15-Apr-19",34,0
"35","15-Apr-19",35,0
"36","15-Apr-19",36,0
"37","15-Apr-19",37,0
"38","15-Apr-19",38,0
"39","15-Apr-19",39,0
"40","15-Apr-19",40,0
"41","15-Apr-19",41,0
"42","15-Apr-19",42,0
"43","15-Apr-19",43,0
"44","15-Apr-19",44,0
"45","15-Apr-19",45,0
"46","15-Apr-19",46,0
"47","15-Apr-19",47,0
"48","15-Apr-19",48,0
"49","15-Apr-19",49,0
"50","15-Apr-19",50,0
"51","22-Apr-19",1,0
"52","22-Apr-19",2,0
"53","22-Apr-19",3,0
"54","22-Apr-19",4,0
"55","22-Apr-19",5,0
"56","22-Apr-19",6,0
"57","22-Apr-19",7,0
"58","22-Apr-19",8,0
"59","22-Apr-19",9,0
"60","22-Apr-19",10,0
"61","22-Apr-19",11,0
"62","22-Apr-19",12,0
"63","22-Apr-19",13,0
"64","22-Apr-19",14,0
"65","22-Apr-19",15,0
"66","22-Apr-19",16,0
"67","22-Apr-19",17,0
"68","22-Apr-19",18,0
"69","22-Apr-19",19,0
"70","22-Apr-19",20,0
"71","22-Apr-19",21,0
"72","22-Apr-19",22,0
"73","22-Apr-19",23,0
"74","22-Apr-19",24,0
"75","22-Apr-19",25,0
"76","22-Apr-19",26,0
"77","22-Apr-19",27,0
"78","22-Apr-19",28,0
"79","22-Apr-19",29,0
"80","22-Apr-19",30,0
"81","22-Apr-19",31,0
"82","22-Apr-19",32,0
"83","22-Apr-19",33,0
"84","22-Apr-19",34,0
"85","22-Apr-19",35,0
"86","22-Apr-19",36,0
"87","22-Apr-19",37,0
"88","22-Apr-19",38,0
"89","22-Apr-19",39,0
"90","22-Apr-19",40,0
"91","22-Apr-19",41,0
"92","22-Apr-19",42,0
"93","22-Apr-19",43,0
"94","22-Apr-19",44,0
"95","22-Apr-19",45,0
"96","22-Apr-19",46,0
"97","22-Apr-19",47,0
"98","22-Apr-19",48,0
"99","22-Apr-19",49,0
"100","22-Apr-19",50,0
"101","29-Apr-19",1,0
"102","29-Apr-19",2,0
"103","29-Apr-19",3,0
"104","29-Apr-19",4,0
"105","29-Apr-19",5,0
"106","29-Apr-19",6,0
"107","29-Apr-19",7,0
"108","29-Apr-19",8,0
