"","Date","Traps","Counts"
"1","5/4/2021",1,0
"2","5/4/2021",2,0
"3","5/4/2021",3,0
"4","5/4/2021",4,0
"5","5/4/2021",5,0
"6","5/4/2021",6,0
"7","5/4/2021",7,0
"8","5/4/2021",8,0
"9","5/4/2021",9,0
"10","5/4/2021",10,0
"11","5/4/2021",11,0
"12","5/4/2021",12,0
"13","5/4/2021",13,0
"14","5/4/2021",14,0
"15","5/4/2021",15,0
"16","5/4/2021",16,0
"17","5/4/2021",17,0
"18","5/4/2021",18,0
"19","5/4/2021",19,0
"20","5/4/2021",20,0
"21","5/4/2021",21,0
"22","5/4/2021",22,0
"23","5/4/2021",23,0
"24","5/4/2021",24,0
"25","5/4/2021",25,0
"26","5/4/2021",26,1
"27","5/4/2021",27,0
"28","5/4/2021",28,0
"29","5/4/2021",29,0
"30","5/4/2021",30,0
"31","5/4/2021",31,0
"32","5/4/2021",32,0
"33","5/4/2021",33,0
"34","5/4/2021",34,0
"35","5/4/2021",35,0
"36","5/4/2021",36,0
"37","5/4/2021",37,0
"38","5/4/2021",38,0
"39","5/4/2021",39,0
"40","5/4/2021",40,1
"41","5/4/2021",41,0
"42","5/4/2021",42,1
"43","5/4/2021",43,0
"44","5/4/2021",44,0
"45","5/4/2021",45,0
"46","5/4/2021",46,0
"47","5/4/2021",47,0
"48","5/4/2021",48,0
"49","5/4/2021",49,0
"50","5/4/2021",50,0
"51","5/4/2021",51,0
"52","5/4/2021",52,0
"53","5/4/2021",53,0
"54","5/4/2021",54,0
"55","5/4/2021",55,0
"56","5/4/2021",56,0
"57","5/4/2021",57,0
"58","5/4/2021",58,0
"59","5/4/2021",59,0
"60","5/4/2021",60,0
"61","5/4/2021",61,0
"62","5/4/2021",62,0
"63","5/4/2021",63,0
"64","5/4/2021",64,0
"65","5/4/2021",65,0
"66","5/4/2021",66,0
"67","5/4/2021",67,0
"68","5/4/2021",68,0
"69","5/4/2021",69,0
"70","5/4/2021",70,0
"71","5/11/2021",1,0
"72","5/11/2021",2,0
"73","5/11/2021",3,0
"74","5/11/2021",4,0
"75","5/11/2021",5,0
"76","5/11/2021",6,0
"77","5/11/2021",7,0
"78","5/11/2021",8,0
"79","5/11/2021",9,0
"80","5/11/2021",10,1
"81","5/11/2021",11,0
"82","5/11/2021",12,1
"83","5/11/2021",13,0
"84","5/11/2021",14,1
"85","5/11/2021",15,0
"86","5/11/2021",16,1
"87","5/11/2021",17,0
"88","5/11/2021",18,0
"89","5/11/2021",19,0
"90","5/11/2021",20,0
"91","5/11/2021",21,0
"92","5/11/2021",22,1
"93","5/11/2021",23,0
"94","5/11/2021",24,0
"95","5/11/2021",25,0
"96","5/11/2021",26,0
"97","5/11/2021",27,0
"98","5/11/2021",28,0
"99","5/11/2021",29,1
"100","5/11/2021",30,0
"101","5/11/2021",31,0
"102","5/11/2021",32,3
"103","5/11/2021",33,0
"104","5/11/2021",34,0
"105","5/11/2021",35,0
"106","5/11/2021",36,0
"107","5/11/2021",37,1
"108","5/11/2021",38,0
"109","5/11/2021",39,3
"110","5/11/2021",40,2
"111","5/11/2021",41,0
"112","5/11/2021",42,0
"113","5/11/2021",43,0
"114","5/11/2021",44,1
"115","5/11/2021",45,0
"116","5/11/2021",46,0
"117","5/11/2021",47,0
"118","5/11/2021",48,0
"119","5/11/2021",49,0
"120","5/11/2021",50,0
"121","5/11/2021",51,0
"122","5/11/2021",52,0
"123","5/11/2021",53,0
"124","5/11/2021",54,0
"125","5/11/2021",55,0
"126","5/11/2021",56,0
"127","5/11/2021",57,0
"128","5/11/2021",58,0
"129","5/11/2021",59,0
"130","5/11/2021",60,0
"131","5/11/2021",61,0
"132","5/11/2021",62,0
"133","5/11/2021",63,0
"134","5/11/2021",64,0
"135","5/11/2021",65,0
"136","5/11/2021",66,0
"137","5/11/2021",67,0
"138","5/11/2021",68,0
"139","5/11/2021",69,0
"140","5/11/2021",70,0
"141","5/19/2021",1,1
"142","5/19/2021",2,0
"143","5/19/2021",3,0
"144","5/19/2021",4,0
