"","Date","Traps","Counts"
"1","23-Apr-18",1,0
"2","23-Apr-18",2,0
"3","23-Apr-18",3,0
"4","23-Apr-18",4,0
"5","23-Apr-18",5,0
"6","23-Apr-18",6,0
"7","23-Apr-18",7,0
"8","23-Apr-18",8,0
"9","23-Apr-18",9,0
"10","23-Apr-18",10,0
"11","23-Apr-18",11,0
"12","23-Apr-18",12,0
"13","23-Apr-18",13,0
"14","23-Apr-18",14,0
"15","23-Apr-18",15,0
"16","23-Apr-18",16,0
"17","23-Apr-18",17,0
"18","23-Apr-18",18,0
"19","23-Apr-18",19,0
"20","23-Apr-18",20,0
"21","23-Apr-18",21,0
"22","23-Apr-18",22,0
"23","23-Apr-18",23,0
"24","23-Apr-18",24,0
"25","23-Apr-18",25,0
"26","20-Apr-18",1,0
"27","20-Apr-18",2,0
"28","20-Apr-18",3,0
"29","20-Apr-18",4,0
"30","20-Apr-18",5,0
"31","20-Apr-18",6,0
"32","20-Apr-18",7,0
"33","20-Apr-18",8,0
"34","20-Apr-18",9,0
"35","20-Apr-18",10,0
"36","20-Apr-18",11,0
"37","20-Apr-18",12,0
"38","20-Apr-18",13,0
"39","20-Apr-18",14,0
"40","20-Apr-18",15,0
"41","20-Apr-18",16,0
"42","20-Apr-18",17,0
"43","20-Apr-18",18,0
"44","20-Apr-18",19,0
"45","20-Apr-18",20,0
"46","20-Apr-18",21,0
"47","20-Apr-18",22,0
"48","20-Apr-18",23,0
"49","20-Apr-18",24,0
"50","20-Apr-18",25,0
"51","7-May-18",1,0
"52","7-May-18",2,0
"53","7-May-18",3,0
"54","7-May-18",4,0
"55","7-May-18",5,0
"56","7-May-18",6,0
"57","7-May-18",7,0
"58","7-May-18",8,0
"59","7-May-18",9,0
"60","7-May-18",10,0
"61","7-May-18",11,0
"62","7-May-18",12,0
"63","7-May-18",13,0
"64","7-May-18",14,0
"65","7-May-18",15,0
"66","7-May-18",16,0
"67","7-May-18",17,0
"68","7-May-18",18,0
"69","7-May-18",19,0
"70","7-May-18",20,0
"71","7-May-18",21,0
"72","7-May-18",22,0
"73","7-May-18",23,0
"74","7-May-18",24,0
"75","7-May-18",25,0
"76","14-May-18",1,0
"77","14-May-18",2,0
"78","14-May-18",3,0
"79","14-May-18",4,0
"80","14-May-18",5,0
"81","14-May-18",6,0
"82","14-May-18",7,0
"83","14-May-18",8,0
"84","14-May-18",9,0
"85","14-May-18",10,0
"86","14-May-18",11,1
"87","14-May-18",12,1
"88","14-May-18",13,3
"89","14-May-18",14,6
"90","14-May-18",15,0
"91","14-May-18",16,2
"92","14-May-18",17,0
"93","14-May-18",18,0
"94","14-May-18",19,0
"95","14-May-18",20,0
"96","14-May-18",21,0
"97","14-May-18",22,0
"98","14-May-18",23,0
"99","14-May-18",24,0
"100","14-May-18",25,0
"101","21-May-18",1,0
"102","21-May-18",2,0
"103","21-May-18",3,0
"104","21-May-18",4,2
"105","21-May-18",5,0
"106","21-May-18",6,0
"107","21-May-18",7,0
"108","21-May-18",8,0
"109","21-May-18",9,0
"110","21-May-18",10,0
"111","21-May-18",11,2
"112","21-May-18",12,0
"113","21-May-18",13,3
"114","21-May-18",14,16
"115","21-May-18",15,2
"116","21-May-18",16,2
"117","21-May-18",17,0
"118","21-May-18",18,0
"119","21-May-18",19,0
"120","21-May-18",20,0
"121","21-May-18",21,0
"122","21-May-18",22,0
"123","21-May-18",23,0
"124","21-May-18",24,0
"125","21-May-18",25,0
"126","28-May-18",1,0
"127","28-May-18",2,0
"128","28-May-18",3,0
"129","28-May-18",4,0
"130","28-May-18",5,0
"131","28-May-18",6,0
"132","28-May-18",7,0
"133","28-May-18",8,0
"134","28-May-18",9,0
"135","28-May-18",10,0
"136","28-May-18",11,3
"137","28-May-18",12,2
"138","28-May-18",13,2
