"","Date","Counts","Julian","DDs","prop1st"
"1",2018-04-20,0,110,59.4323590802716,0
"2",2018-04-23,0,113,67.1381416420566,0
"3",2018-05-07,0,127,156.213537819146,0
"4",2018-05-14,0.52,134,211.982113460012,0.0984848484848485
"5",2018-05-21,1.08,141,272.914111106293,0.204545454545455
"6",2018-05-28,0.52,148,346.213964697253,0.0984848484848485
"7",2018-06-04,0.32,155,393.666950720308,0.0606060606060606
"8",2018-06-11,0.56,162,439.635442399592,0.106060606060606
"9",2018-06-18,1.12,169,495.81908565969,0.212121212121212
"10",2018-06-25,0.92,176,580.617945082693,0.174242424242424
"11",2018-07-02,0.24,183,642.539325197326,0.0454545454545454
"12",2018-07-09,0.2,190,726.935888182688,NA
"13",2018-07-16,0.28,197,826.392053224179,NA
"14",2018-07-23,0.2,204,920.083242189353,NA
"15",2018-07-30,1.56,211,1031.08779539549,NA
"16",2018-08-07,0.36,219,1142.47412194737,NA
"17",2018-08-13,1.76,225,1226.37821658645,NA
"18",2018-08-20,1.56,232,1318.61814465479,NA
"19",2018-08-27,1.8,239,1384.6563625092,NA
"20",2018-09-03,0.76,246,1450.03564648256,NA
"21",2018-09-10,0.92,253,1515.81672671996,NA
"22",2018-09-17,0.04,260,1552.3158943778,NA
"23",2018-09-24,0,267,1590.82622805993,NA
"24",2018-10-01,0,274,1630.85214431784,NA
"25",2018-10-08,0,281,1644.38219499376,NA
"26",2018-10-15,0,288,1660.4777108431,NA
