"","Date","Trap","Counts"
"1",2018-04-23,1,0
"2",2018-04-23,2,0
"3",2018-04-23,3,0
"4",2018-04-23,4,0
"5",2018-04-23,5,0
"6",2018-04-23,6,0
"7",2018-04-30,1,0
"8",2018-04-30,2,0
"9",2018-04-30,3,0
"10",2018-04-30,4,0
"11",2018-04-30,5,0
"12",2018-04-30,6,0
"13",2018-05-07,1,0
"14",2018-05-07,2,0
"15",2018-05-07,3,0
"16",2018-05-07,4,0
"17",2018-05-07,5,0
"18",2018-05-07,6,0
"19",2018-05-14,1,1
"20",2018-05-14,2,5
"21",2018-05-14,3,0
"22",2018-05-14,4,0
"23",2018-05-14,5,2
"24",2018-05-14,6,0
"25",2018-05-21,1,1
"26",2018-05-21,2,2
"27",2018-05-21,3,5
"28",2018-05-21,4,0
"29",2018-05-21,5,2
"30",2018-05-21,6,0
"31",2018-05-28,1,7
"32",2018-05-28,2,1
"33",2018-05-28,3,1
"34",2018-05-28,4,1
"35",2018-05-28,5,2
"36",2018-05-28,6,1
"37",2018-06-04,1,3
"38",2018-06-04,2,0
"39",2018-06-04,3,2
"40",2018-06-04,4,0
"41",2018-06-04,5,0
"42",2018-06-04,6,0
"43",2018-06-11,1,2
"44",2018-06-11,2,2
"45",2018-06-11,3,6
"46",2018-06-11,4,1
"47",2018-06-11,5,1
"48",2018-06-11,6,0
"49",2018-06-18,1,2
"50",2018-06-18,2,2
"51",2018-06-18,3,2
"52",2018-06-18,4,3
"53",2018-06-18,5,2
"54",2018-06-18,6,0
"55",2018-06-25,1,5
"56",2018-06-25,2,1
"57",2018-06-25,3,1
"58",2018-06-25,4,2
"59",2018-06-25,5,0
"60",2018-06-25,6,0
"61",2018-07-02,1,0
"62",2018-07-02,2,0
"63",2018-07-02,3,0
"64",2018-07-02,4,0
"65",2018-07-02,5,0
"66",2018-07-02,6,0
"67",2018-07-09,1,2
"68",2018-07-09,2,0
"69",2018-07-09,3,0
"70",2018-07-09,4,0
"71",2018-07-09,5,2
"72",2018-07-09,6,1
"73",2018-07-16,1,0
"74",2018-07-16,2,1
"75",2018-07-16,3,0
"76",2018-07-16,4,0
"77",2018-07-16,5,0
"78",2018-07-16,6,0
"79",2018-07-23,1,0
"80",2018-07-23,2,1
"81",2018-07-23,3,1
"82",2018-07-23,4,1
"83",2018-07-23,5,0
"84",2018-07-23,6,0
"85",2018-07-30,1,1
"86",2018-07-30,2,1
"87",2018-07-30,3,0
"88",2018-07-30,4,2
"89",2018-07-30,5,2
"90",2018-07-30,6,0
"91",2018-08-07,1,0
"92",2018-08-07,2,1
"93",2018-08-07,3,1
"94",2018-08-07,4,0
"95",2018-08-07,5,0
"96",2018-08-07,6,0
"97",2018-08-13,1,4
"98",2018-08-13,2,4
"99",2018-08-13,3,1
"100",2018-08-13,4,0
"101",2018-08-13,5,7
"102",2018-08-13,6,1
"103",2018-08-20,1,5
"104",2018-08-20,2,3
"105",2018-08-20,3,0
"106",2018-08-20,4,2
"107",2018-08-20,5,7
"108",2018-08-20,6,0
"109",2018-08-27,1,3
"110",2018-08-27,2,4
"111",2018-08-27,3,0
"112",2018-08-27,4,1
"113",2018-08-27,5,1
"114",2018-08-27,6,0
"115",2018-09-03,1,1
"116",2018-09-03,2,1
"117",2018-09-03,3,0
"118",2018-09-03,4,0
"119",2018-09-03,5,1
"120",2018-09-03,6,0
"121",2018-09-10,1,0
"122",2018-09-10,2,0
"123",2018-09-10,3,1
"124",2018-09-10,4,0
"125",2018-09-10,5,0
"126",2018-09-10,6,0
"127",2018-09-17,1,0
"128",2018-09-17,2,0
"129",2018-09-17,3,0
"130",2018-09-17,4,0
"131",2018-09-17,5,0
"132",2018-09-17,6,0
"133",2018-09-24,1,0
"134",2018-09-24,2,0
"135",2018-09-24,3,0
"136",2018-09-24,4,0
"137",2018-09-24,5,0
"138",2018-09-24,6,0
"139",2018-10-01,1,0
"140",2018-10-01,2,0
"141",2018-10-01,3,0
"142",2018-10-01,4,0
"143",2018-10-01,5,0
"144",2018-10-01,6,0
