"","Date","Traps","Counts"
"1",2020-04-20,1,0
"2",2020-04-20,2,0
"3",2020-04-20,3,0
"4",2020-04-20,4,0
"5",2020-04-20,5,0
"6",2020-04-20,6,0
"7",2020-04-20,7,0
"8",2020-04-20,8,0
"9",2020-04-20,9,0
"10",2020-04-20,10,0
"11",2020-04-20,11,0
"12",2020-04-20,12,0
"13",2020-04-20,13,0
"14",2020-04-20,14,0
"15",2020-04-20,15,0
"16",2020-04-27,1,0
"17",2020-04-27,2,0
"18",2020-04-27,3,0
"19",2020-04-27,4,0
"20",2020-04-27,5,0
"21",2020-04-27,6,0
"22",2020-04-27,7,0
"23",2020-04-27,8,0
"24",2020-04-27,9,0
"25",2020-04-27,10,0
"26",2020-04-27,11,0
"27",2020-04-27,12,0
"28",2020-04-27,13,0
"29",2020-04-27,14,0
"30",2020-04-27,15,0
"31",2020-05-07,1,0
"32",2020-05-07,2,0
"33",2020-05-07,3,0
"34",2020-05-07,4,0
"35",2020-05-07,5,1
"36",2020-05-07,6,0
"37",2020-05-07,7,0
"38",2020-05-07,8,0
"39",2020-05-07,9,1
"40",2020-05-07,10,0
"41",2020-05-07,11,0
"42",2020-05-07,12,0
"43",2020-05-07,13,0
"44",2020-05-07,14,0
"45",2020-05-07,15,0
"46",2020-05-14,1,1
"47",2020-05-14,2,0
"48",2020-05-14,3,0
"49",2020-05-14,4,1
"50",2020-05-14,5,3
"51",2020-05-14,6,4
"52",2020-05-14,7,0
"53",2020-05-14,8,2
"54",2020-05-14,9,0
"55",2020-05-14,10,0
"56",2020-05-14,11,2
"57",2020-05-14,12,1
"58",2020-05-14,13,0
"59",2020-05-14,14,0
"60",2020-05-14,15,1
"61",2020-05-21,1,0
"62",2020-05-21,2,0
"63",2020-05-21,3,0
"64",2020-05-21,4,0
"65",2020-05-21,5,0
"66",2020-05-21,6,0
"67",2020-05-21,7,1
"68",2020-05-21,8,0
"69",2020-05-21,9,1
"70",2020-05-21,10,0
"71",2020-05-21,11,0
"72",2020-05-21,12,0
"73",2020-05-21,13,0
"74",2020-05-21,14,0
"75",2020-05-21,15,0
"76",2020-05-28,1,0
"77",2020-05-28,2,0
"78",2020-05-28,3,0
"79",2020-05-28,4,0
"80",2020-05-28,5,0
"81",2020-05-28,6,0
